time_stamp,robot_x,y,z,Rx,Ry,Rz,frame_x,y,z,Rx,Ry,Rz,force_x,y,z,Rx,Ry,Rz,speed_x,y,z,Rx,Ry,Rz
0.0,-0.39494531666186805,-0.179332363837359,0.12327257339729925,0.0018761316144195585,0.0036115638479073875,1.123143892860742,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.38423248010040073,0.9733642217972908,-0.9266292434232746,0.04174077195733529,-0.05684068210842461,-0.07153740178186922,0.0,-0.01,0.0,0.0,0.0,0.0
0.01639344262295082,-0.394984982436341,-0.1871210452458339,0.12304197503969441,0.002630918769491264,0.002360995330172896,1.123073173260918,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.42239381070811116,0.0,-0.116456926436042,0.02279571029016834,0.010763259568844517,0.0,0.0,0.0,-0.01,0.0,0.0,0.0
0.03278688524590164,-0.3949895262872846,-0.18807753871385047,0.12024839950930763,0.0030397018739398264,0.0027564265023990167,1.1230986868487611,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.43926548142363336,1.170770280368247,-0.3396103322199533,0.05906411612735404,-0.06763515159880312,0.029748990839470406,0.0,-0.01,0.0,0.0,0.0,0.0
0.04918032786885246,-0.39498659129672653,-0.19353648973630755,0.11756670111164119,0.0029323574816703894,0.002269993094780737,1.1230361139855978,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.40271298458856675,0.447857289113844,0.2611206064090119,0.0488653185411007,-0.022329618990057587,-0.025611165463607574,0.0,0.0,-0.01,0.0,0.0,0.0
0.06557377049180328,-0.3949820280962879,-0.1959633538810104,0.11333256301828093,0.0032778461207874986,0.0023505084214501606,1.1230389522457376,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.4190694181692715,1.355493046089916,0.0,0.0663379736520701,-0.08089128961259828,-0.11823332967637418,0.0,-0.01,0.0,0.0,0.0,0.0
0.0819672131147541,-0.39497455010283455,-0.20129617922570678,0.11037389148906226,0.0032268344684485252,0.0017880644023500797,1.1229510380038654,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.4428624028595337,1.9917769380002395,-0.28381556449749823,0.08794916850239191,-0.12370706107968946,-0.08738294494940263,0.0,-0.01,0.0,0.0,0.0,0.0
0.09836065573770492,-0.3949760851065051,-0.20925171958164956,0.10786823075033641,0.0033914514941579257,0.0008009963453737194,1.1229139370590295,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.44035425683325363,2.159553437838213,-0.4836085414766167,0.086273059478504,-0.13487805624435223,-0.14068168120602467,0.0,-0.01,0.0,0.0,0.0,0.0
0.11475409836065574,-0.3949862809451992,-0.22003612839524966,0.10566067571247889,0.004186389119352944,1.3079561896733575e-05,1.1228786326250653,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.42682437962845643,2.1457455305424307,-0.6620624371291797,0.09459042777484734,-0.13767521730365942,-0.025595794121926477,0.0,-0.01,0.0,0.0,0.0,0.0
0.13114754098360656,-0.3949942038529005,-0.22885301332694677,0.10446629110155614,0.004769426014700226,-0.00021789465955855572,1.1228296351881368,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.4904552235425842,2.294584767306461,-0.7267069609308763,0.08767973272855738,-0.1418455641390563,0.0,0.0,-0.01,0.0,0.0,0.0,0.0
0.14754098360655737,-0.39499835337266864,-0.24111052829652715,0.10321708855279096,0.005464045449980475,9.747705465836386e-06,1.122820636390248,-0.444899,-0.185191,0.127137,0.001,0.001,0.001,-0.4263957772105631,1.9719012525107613,-0.8163447023468695,0.08637500114734696,-0.12563541226064356,-0.02707047884923942,0.0,-0.01,0.0,0.0,0.0,0.0
